promptID,pairID,premise,premise_binary_parse,premise_parse,hypothesis,hypothesis_binary_parse,hypothesis_parse,genre,label
55785,55785e,"I burst through a set of cabin doors, and fell to the ground-","( I ( ( ( ( ( burst ( through ( ( a set ) ( of ( cabin doors ) ) ) ) ) , ) and ) ( fell ( to ( the ground ) ) ) ) - ) )","(ROOT (S (NP (PRP I)) (VP (VP (VBP burst) (PP (IN through) (NP (NP (DT a) (NN set)) (PP (IN of) (NP (NN cabin) (NNS doors)))))) (, ,) (CC and) (VP (VBD fell) (PP (TO to) (NP (DT the) (NN ground))))) (: -)))",I burst through the doors and fell down.,( I ( ( ( ( burst ( through ( the doors ) ) ) and ) ( fell down ) ) . ) ),(ROOT (S (NP (PRP I)) (VP (VP (VBP burst) (PP (IN through) (NP (DT the) (NNS doors)))) (CC and) (VP (VBD fell) (PRT (RP down)))) (. .))),fiction,0
11877,11877c,Fun for adults and children.,( ( Fun ( for ( ( adults and ) children ) ) ) . ),(ROOT (S (VP (VB Fun) (PP (IN for) (NP (NNS adults) (CC and) (NNS children)))) (. .))),Fun for only children.,( ( Fun ( for ( only children ) ) ) . ),(ROOT (S (VP (VB Fun) (PP (IN for) (NP (JJ only) (NNS children)))) (. .))),travel,2
32819,32819n,It's not that the questions they asked weren't interesting or legitimate (though most did fall under the category of already asked and answered).,( It ( ( ( ( 's not ) ( that ( ( ( the questions ) ( they asked ) ) ( ( were n't ) ( ( interesting or ) legitimate ) ) ) ) ) ( -LRB- ( ( though ( most ( ( did fall ) ( under ( ( ( the category ) ( of already ) ) ( ( asked and ) answered ) ) ) ) ) ) -RRB- ) ) ) . ) ),(ROOT (S (NP (PRP It)) (VP (VBZ 's) (RB not) (SBAR (IN that) (S (NP (NP (DT the) (NNS questions)) (SBAR (S (NP (PRP they)) (VP (VBD asked))))) (VP (VBD were) (RB n't) (ADJP (JJ interesting) (CC or) (JJ legitimate))))) (PRN (-LRB- -LRB-) (SBAR (IN though) (S (NP (JJS most)) (VP (VBD did) (NP (NN fall)) (PP (IN under) (NP (NP (DT the) (NN category)) (PP (IN of) (ADVP (RB already))) (VP (VBN asked) (CC and) (VBN answered))))))) (-RRB- -RRB-))) (. .))),All of the questions were interesting according to a focus group consulted on the subject.,( ( All ( of ( the questions ) ) ) ( ( ( were interesting ) ( according ( to ( ( a ( focus group ) ) ( consulted ( on ( the subject ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT All)) (PP (IN of) (NP (DT the) (NNS questions)))) (VP (VBD were) (ADJP (JJ interesting)) (PP (VBG according) (PP (TO to) (NP (NP (DT a) (NN focus) (NN group)) (VP (VBN consulted) (PP (IN on) (NP (DT the) (NN subject)))))))) (. .))),slate,1
52772,52772n,"Thebes held onto power until the 12th Dynasty, when its first king, Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis.","( Thebes ( ( ( ( ( held ( onto power ) ) ( until ( the ( 12th Dynasty ) ) ) ) , ) ( when ( ( ( ( its ( first king ) ) , ) ( ( Amenemhet ( Iwho reigned ) ) ( between ( 1980 ( 1951 b.c. ) ) ) ) ) ( established ( ( a capital ) ( near Memphis ) ) ) ) ) ) . ) )","(ROOT (S (NP (NNS Thebes)) (VP (VBD held) (PP (IN onto) (NP (NN power))) (PP (IN until) (NP (DT the) (JJ 12th) (NN Dynasty))) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (NP (PRP$ its) (JJ first) (NN king)) (, ,) (NP (NP (NNP Amenemhet) (NNP Iwho) (NNP reigned)) (PP (IN between) (NP (CD 1980) (CD 1951) (NNS b.c.))))) (VP (VBD established) (NP (NP (DT a) (NN capital)) (PP (IN near) (NP (NNP Memphis)))))))) (. .)))",The capital near Memphis lasted only half a century before its inhabitants abandoned it for the next capital. ,( ( ( The capital ) ( near Memphis ) ) ( ( ( ( lasted ( only half ) ) ( a century ) ) ( before ( ( its inhabitants ) ( ( abandoned it ) ( for ( the ( next capital ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT The) (NN capital)) (PP (IN near) (NP (NNP Memphis)))) (VP (VBD lasted) (NP (QP (RB only) (PDT half))) (NP (DT a) (NN century)) (SBAR (IN before) (S (NP (PRP$ its) (NN inhabitants)) (VP (VBD abandoned) (NP (PRP it)) (PP (IN for) (NP (DT the) (JJ next) (NN capital))))))) (. .))),travel,1
102489,102489c,"I don't mean to be glib about your concerns, but if I were you, I might be more concerned about the near-term rate implications of this $1.","( ( ( ( ( I ( ( do n't ) ( mean ( to ( be ( glib ( about ( your concerns ) ) ) ) ) ) ) ) , ) but ) ( ( if ( I ( were you ) ) ) ( , ( I ( might ( be ( more ( concerned ( about ( ( the ( near-term ( rate implications ) ) ) ( of ( this ( $ 1 ) ) ) ) ) ) ) ) ) ) ) ) ) . )","(ROOT (S (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB mean) (S (VP (TO to) (VP (VB be) (VP (VBN glib) (PP (IN about) (NP (PRP$ your) (NNS concerns)))))))))) (, ,) (CC but) (S (SBAR (IN if) (S (NP (PRP I)) (VP (VBD were) (NP (PRP you))))) (, ,) (NP (PRP I)) (VP (MD might) (VP (VB be) (ADJP (RBR more) (JJ concerned) (PP (IN about) (NP (NP (DT the) (JJ near-term) (NN rate) (NNS implications)) (PP (IN of) (NP (DT this) ($ $) (CD 1))))))))) (. .)))",I am concerned more about your issues than the near-term rate implications.,( I ( ( am ( ( concerned ( more ( about ( your issues ) ) ) ) ( than ( the ( near-term ( rate implications ) ) ) ) ) ) . ) ),(ROOT (S (NP (PRP I)) (VP (VBP am) (VP (VBN concerned) (ADVP (RBR more) (PP (IN about) (NP (PRP$ your) (NNS issues)))) (PP (IN than) (NP (DT the) (JJ near-term) (NN rate) (NNS implications))))) (. .))),government,2
81785,81785e,Issues in Data Synthesis.,( ( Issues ( in ( Data Synthesis ) ) ) . ),(ROOT (NP (NP (NNS Issues)) (PP (IN in) (NP (NNP Data) (NNPS Synthesis))) (. .))),Problems in data synthesis.,( ( Problems ( in ( data synthesis ) ) ) . ),(ROOT (NP (NP (NNS Problems)) (PP (IN in) (NP (NN data) (NN synthesis))) (. .))),government,0
16915,16915e,well you see that on television also,( well ( you ( ( see ( that ( on television ) ) ) also ) ) ),(ROOT (ADJP (RB well) (SBAR (S (NP (PRP you)) (VP (VBP see) (NP (NP (DT that)) (PP (IN on) (NP (NN television)))) (ADVP (RB also))))))),"You can see that on television, as well.","( You ( ( can ( ( ( see ( that ( on television ) ) ) , ) ( as well ) ) ) . ) )","(ROOT (S (NP (PRP You)) (VP (MD can) (VP (VB see) (NP (NP (DT that)) (PP (IN on) (NP (NN television)))) (, ,) (ADVP (RB as) (RB well)))) (. .)))",telephone,0
56687,56687c,Vrenna and I both fought him and he nearly took us.,( ( ( Vrenna and ) I ) ( both ( ( fought ( ( ( him and ) he ) ( nearly ( took us ) ) ) ) . ) ) ),(ROOT (S (NP (NNP Vrenna) (CC and) (PRP I)) (DT both) (VP (VBD fought) (SBAR (S (NP (PRP him) (CC and) (PRP he)) (ADVP (RB nearly)) (VP (VBD took) (NP (PRP us)))))) (. .))),Neither Vrenna nor myself have ever fought him.,( ( Neither ( ( Vrenna nor ) myself ) ) ( ( ( have ever ) ( fought him ) ) . ) ),(ROOT (S (NP (CC Neither) (NP (NNP Vrenna)) (CC nor) (NP (PRP myself))) (VP (VBP have) (ADVP (RB ever)) (VP (VBN fought) (NP (PRP him)))) (. .))),fiction,2
101211,101211c,This analysis pooled estimates from these two studies to develop a C-R function linking PM to chronic bronchitis.,( ( ( This analysis ) pooled ) ( ( ( estimates ( from ( these ( two studies ) ) ) ) ( to ( ( develop ( a ( C-R function ) ) ) ( ( linking PM ) ( to ( chronic bronchitis ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT This) (NN analysis)) (VP (VBN pooled))) (VP (VBZ estimates) (PP (IN from) (NP (DT these) (CD two) (NNS studies))) (S (VP (TO to) (VP (VB develop) (NP (DT a) (JJ C-R) (NN function)) (S (VP (VBG linking) (NP (NNP PM)) (PP (TO to) (NP (JJ chronic) (NNS bronchitis))))))))) (. .))),The analysis proves that there is no link between PM and bronchitis.,( ( The analysis ) ( ( proves ( that ( there ( ( ( is ( ( no link ) ( between PM ) ) ) and ) bronchitis ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN analysis)) (VP (VBZ proves) (SBAR (IN that) (S (NP (EX there)) (VP (VP (VBZ is) (NP (NP (DT no) (NN link)) (PP (IN between) (NP (NNP PM))))) (CC and) (VP (VBZ bronchitis)))))) (. .))),government,2
62897,62897n,He turned and smiled at Vrenna.,( He ( ( ( ( turned and ) smiled ) ( at Vrenna ) ) . ) ),(ROOT (S (NP (PRP He)) (VP (VBD turned) (CC and) (VBD smiled) (PP (IN at) (NP (NNP Vrenna)))) (. .))),He smiled at Vrenna who was walking slowly behind him with her mother.,( He ( ( smiled ( at ( Vrenna ( who ( was ( ( walking ( slowly ( behind him ) ) ) ( with ( her mother ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (PRP He)) (VP (VBD smiled) (PP (IN at) (NP (NP (NNP Vrenna)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG walking) (ADVP (RB slowly) (PP (IN behind) (NP (PRP him)))) (PP (IN with) (NP (PRP$ her) (NN mother)))))))))) (. .))),fiction,1
38518,38518e,We sought to identify practices that were commonly implemented by the agencies within the past 5 years.,( We ( ( sought ( to ( identify ( practices ( that ( ( were commonly ) ( implemented ( by ( ( the agencies ) ( within ( the ( past ( 5 years ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (PRP We)) (VP (VBD sought) (S (VP (TO to) (VP (VB identify) (NP (NP (NNS practices)) (SBAR (WHNP (WDT that)) (S (VP (VBD were) (ADVP (RB commonly)) (VP (VBN implemented) (PP (IN by) (NP (NP (DT the) (NNS agencies)) (PP (IN within) (NP (DT the) (JJ past) (CD 5) (NNS years)))))))))))))) (. .))),We want to identify practices commonly used by agencies in the last 5 years,( We ( want ( to ( identify ( practices ( commonly ( used ( by ( agencies ( in ( the ( last ( 5 years ) ) ) ) ) ) ) ) ) ) ) ) ),(ROOT (S (NP (PRP We)) (VP (VBP want) (S (VP (TO to) (VP (VB identify) (NP (NP (NNS practices)) (VP (ADVP (RB commonly)) (VBN used) (PP (IN by) (NP (NP (NNS agencies)) (PP (IN in) (NP (DT the) (JJ last) (CD 5) (NNS years))))))))))))),government,0
138444,138444e,The other men shuffled.,( ( The ( other men ) ) ( shuffled . ) ),(ROOT (S (NP (DT The) (JJ other) (NNS men)) (VP (VBD shuffled)) (. .))),The other men were shuffled around.,( ( The ( other men ) ) ( ( were ( shuffled around ) ) . ) ),(ROOT (S (NP (DT The) (JJ other) (NNS men)) (VP (VBD were) (VP (VBN shuffled) (PRT (RP around)))) (. .))),fiction,0
76011,76011c,States must show reasonable progress in their state implementation plans toward the congressionally mandated goal of returning to natural conditions in national parks and wilderness areas.,( States ( ( must ( ( show ( ( reasonable progress ) ( in ( their ( state ( implementation plans ) ) ) ) ) ) ( toward ( ( the ( ( congressionally mandated ) goal ) ) ( of ( returning ( to ( ( natural conditions ) ( in ( national ( parks ( and ( wilderness areas ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NNPS States)) (VP (MD must) (VP (VB show) (NP (NP (JJ reasonable) (NN progress)) (PP (IN in) (NP (PRP$ their) (NN state) (NN implementation) (NNS plans)))) (PP (IN toward) (NP (NP (DT the) (ADJP (RB congressionally) (VBN mandated)) (NN goal)) (PP (IN of) (S (VP (VBG returning) (PP (TO to) (NP (NP (JJ natural) (NNS conditions)) (PP (IN in) (NP (JJ national) (NNS parks) (CC and) (NN wilderness) (NNS areas)))))))))))) (. .))),Itis not necessary for there to be any improvement.,( ( ( Itis ( not necessary ) ) ( for ( there ( to ( be ( any improvement ) ) ) ) ) ) . ),(ROOT (S (VP (VB Itis) (ADJP (RB not) (JJ necessary)) (SBAR (IN for) (S (NP (EX there)) (VP (TO to) (VP (VB be) (NP (DT any) (NN improvement))))))) (. .))),government,2
78652,78652e,well it's been very interesting,( well ( it ( 's ( been ( very interesting ) ) ) ) ),(ROOT (ADJP (RB well) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (VP (VBN been) (ADJP (RB very) (JJ interesting)))))))),It has been very intriguing.,( It ( ( has ( been ( very intriguing ) ) ) . ) ),(ROOT (S (NP (PRP It)) (VP (VBZ has) (VP (VBN been) (ADJP (RB very) (JJ intriguing)))) (. .))),telephone,0
44022,44022e,He started slowly back to the bunkhouse.,( He ( ( ( started ( slowly back ) ) ( to ( the bunkhouse ) ) ) . ) ),(ROOT (S (NP (PRP He)) (VP (VBD started) (ADVP (RB slowly) (RB back)) (PP (TO to) (NP (DT the) (NN bunkhouse)))) (. .))),He returned slowly to the bunkhouse.,( He ( ( ( returned slowly ) ( to ( the bunkhouse ) ) ) . ) ),(ROOT (S (NP (PRP He)) (VP (VBD returned) (ADVP (RB slowly)) (PP (TO to) (NP (DT the) (NN bunkhouse)))) (. .))),fiction,0
129069,129069n,and it's it's quite a bit i think six something is the state and and uh the rest of the pie goes elsewhere but we're in a particular part of the state that's pretty well off so it's it's like we get a lot of that back as far as local taxation goes,( and ( it ( 's ( ( ( ( ( it ( ( 's ( quite ( a bit ) ) ) ( i ( think ( ( six something ) ( is ( the state ) ) ) ) ) ) ) and ) ( ( ( ( and uh ) ( the rest ) ) ( of ( the pie ) ) ) ( goes elsewhere ) ) ) but ) ( we ( 're ( in ( ( a ( particular part ) ) ( of ( ( the state ) ( that ( 's ( ( pretty ( well off ) ) ( so ( it ( 's ( it ( 's ( like ( we ( ( get ( ( a lot ) ( of that ) ) ) ( ( back ( as far ) ) ( as ( ( local taxation ) goes ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ),(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (VBZ 's) (S (S (NP (PRP it)) (VP (VBZ 's) (ADVP (RB quite) (NP (DT a) (RB bit))) (NP (NP (FW i)) (SBAR (S (VP (VBP think) (SBAR (S (NP (CD six) (NN something)) (VP (VBZ is) (NP (DT the) (NN state))))))))))) (CC and) (S (NP (NP (QP (CC and) (CD uh)) (DT the) (NN rest)) (PP (IN of) (NP (DT the) (NN pie)))) (VP (VBZ goes) (ADVP (RB elsewhere)))) (CC but) (S (NP (PRP we)) (VP (VBP 're) (PP (IN in) (NP (NP (DT a) (JJ particular) (NN part)) (PP (IN of) (NP (NP (DT the) (NN state)) (SBAR (WHNP (WDT that)) (S (VP (VBZ 's) (ADVP (ADVP (RB pretty) (RB well) (RB off)) (SBAR (IN so) (S (NP (PRP it)) (VP (VBZ 's) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (SBAR (IN like) (S (NP (PRP we)) (VP (VBP get) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT that)))) (ADVP (ADVP (RB back) (RB as) (RB far)) (SBAR (IN as) (S (NP (JJ local) (NN taxation)) (VP (VBZ goes))))))))))))))))))))))))))))),I do not know exactly where the local taxes go.,( I ( ( ( do not ) ( know ( ( exactly where ) ( ( the ( local taxes ) ) go ) ) ) ) . ) ),(ROOT (S (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB know) (SBAR (WHADVP (RB exactly) (WRB where)) (S (NP (DT the) (JJ local) (NNS taxes)) (VP (VBP go)))))) (. .))),telephone,1
