text,span1_index,span2_index,span1_text,span2_text,idx,label
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain , promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",0,44,Mark,his,61,0
The man lifted the boy onto his shoulders.,3,6,The boy,his,62,0
Do you suppose that Peter is responsible for the captain ’s illness? Maybe he bribed the cook to put something in his food.,4,21,Peter,his,63,0
"The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.",36,39,patron,he,64,1
"Paul tried to call George on the phone, but he wasn't available.",4,9,George,he,65,1
Sam's drawing was hung just above Tina's and it did look much better with another one above it.,0,8,Sam's drawing,it,66,0
The table won't fit through the doorway because it is too wide.,0,8,The table,it,67,1
"Emma Emma's mother had died long ago, and her education had been managed by an excellent woman as governess.",1,8,Emma's mother,her,68,0
Bill passed the gameboy to John because his turn was next.,5,7,John,his,69,1
Of one thing Mark was sure. Harry knew much less than he did.,6,11,Harry,he,70,0
Do you suppose that Peter is responsible for the captain ’s illness? Maybe he bribed the cook to put something in his food.,8,21,the captain,his,71,1
What about the time you cut up tulip bulbs in the hamburgers because you thought they were onions?,11,15,hamburgers,they,72,0
"Fred covered his eyes with his hands , because the wind was blowing sand around. He lowered them when the wind stopped.",2,17,His eyes,them,73,0
Sid explained his theory to Mark but he couldn't understand him.,0,7,Sid,he,74,0
Tom gave Ralph a lift to school so he wouldn't have to drive alone.,2,8,Ralph,he,75,0
"When my parents died, I was not earning enough to keep myself or my crippled sister Nelly , and without our kind mistress , we would have gone to the poorhouse. Nelly calls her her angel and she has good right to do so. her",22,33,mistress,her,76,1
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",17,59,the master,he,77,1
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",17,41,the master,him,78,1
"Ann asked Mary what time the library closes, because she had forgotten.",2,9,Mary,she,79,0
Mama came over and sat down beside Alice . Gently she stroked her hair and let the child weep.,7,10,Alice,she,80,0
I put the cake away in the refrigerator . It has a lot of leftovers in it.,6,9,The refrigerator,It,81,1
"I sallied out for a bit of food , more to pass the time than because I wanted it .",13,18,time,it,82,0
The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They began two years ago.,0,18,The scientists,They,83,1
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",0,20,Bob,he,84,1
Fred is the only man still alive who remembers my great-grandfather . He was a remarkable man.,0,12,Fred,He,85,0
"My master and mistress decided to pay a visit to some friends who lived about forty-six miles from our home, and James was to drive them .",1,25,master and mistress,them,86,1
"I was trying to open the lock with the key , but someone had filled the keyhole with chewing gum, and I couldn't get it out.",8,24,The key,it,87,0
Jane knocked on Susan 's door but she did not answer.,0,7,Jane,she,88,0
"John ordered Bill to leave, so an hour later he left.",2,9,Bill,he,89,1
Billy cried because Toby wouldn't accept his toy.,0,6,Billy,his,90,1
James asked Robert for a favor but he refused.,0,7,James,he,91,0
Kirilov ceded the presidency to Shatov because he was more popular.,5,7,Shatov,he,92,1
"The boy continued to whip the pony , and eventually the pony threw him over. John laughed out quite loud. ""Served him right,"" he said.",15,21,John,him,93,0
The foxes are getting in at night and attacking the chickens . They have gotten very bold.,9,12,The chickens,They,94,0
Fred is the only man still alive who remembers my great-grandfather . He is a remarkable man.,9,12,My great-grandfather,He,95,0
"Then he took a piece of iron the shape of the horse horse's foot , and clapped it on, and drove some nails through the shoe quite into its hoof, so that the shoe was firmly on",12,17,horse's foot,it,96,0
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place.",0,19,Sir Clifford,His,97,1
The man lifted the boy onto his bunk bed.,0,6,The man,his,98,0
This book introduced Shakespeare to Goethe ; it was a major influence on his writing.,3,13,Shakespeare,his,99,0
Billy cried because Toby wouldn't accept his toy.,3,6,Toby,his,100,0
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,8,12,Carl,He,101,0
Tom gave Ralph a lift to school so he wouldn't have to walk.,2,8,Ralph,he,102,1
Anne gave birth to a daughter last month. She is a very charming woman.,0,8,Anne,She,103,1
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",3,31,Bill,him,104,0
Bill passed the gameboy to John because his turn was over.,0,7,Bill,his,105,1
Tom threw his schoolbag down to Ray after he reached the top of the stairs.,6,8,Ray,he,106,0
"Mary tucked her daughter Anne into bed, so that she could work.",0,9,Mary,she,107,1
The firemen arrived before the police because they were coming from so far away.,0,7,The firemen,they,108,0
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.",2,13,Pete,He,109,1
The firemen arrived before the police because they were coming from so far away.,4,7,The police,they,110,1
Thomson visited Cooper 's grave in 1765. At that date he had been travelling for five years.,0,10,Thomson,he,111,1
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her , undressing and climbing back into her berth.",1,5,Tatyana,her,112,0
"During a game of tag, Ethan chased Luke because he was ""it"".",7,9,Luke,he,113,0
Mark heard Steve 's feet going down the ladder. The door of the shop closed after him . He ran to look out the window.,2,16,Steve,him,114,1
"George got free tickets to the play, but he gave them to Eric , because he was particularly eager to see it.",0,15,George,he,115,0
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.",6,21,mother,her,116,0
"Bob paid for Charlie 's college education, but now Charlie acts as though it never happened. He is very ungrateful.",3,16,Charlie,He,117,1
The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said he died just to be rid of their everlasting nagging.,22,31,Folks,their,118,0
"During a game of tag, Ethan chased Luke because he was ""it"".",5,9,Ethan,he,119,1
Tom threw his schoolbag down to Ray after he reached the top of the stairs.,0,8,Tom,he,120,1
The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.,0,10,The painting,It,121,1
Dr. Adams informed Kate that she had cancer and presented several options for future treatment.,0,5,Dr. Adams,she,122,0
The sculpture rolled off the shelf because it wasn't level.,4,7,The shelf,it,123,1
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",0,11,Archaeologists,They,124,0
Pete envies Martin although he is very successful.,0,4,Pete,he,125,1
The firemen arrived after the police because they were coming from so far away.,4,7,The police,they,126,0
"Paul tried to call George on the phone, but he wasn't successful.",4,9,George,he,127,0
"The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.",26,39,artisan,he,128,0
"Jane knocked on Susan 's door, but there was no answer. She was disappointed.",3,11,Susan,She,129,0
Frank was upset with Tom because the toaster he had sold him didn't work.,0,8,Frank,he,130,0
This book introduced Shakespeare to Ovid ; it was a major influence on his writing.,3,13,Shakespeare,his,131,1
Thomson visited Cooper 's grave in 1765. At that date he had been travelling for five years.,2,10,Cooper,he,132,0
The delivery truck zoomed by the school bus because it was going so slow.,5,9,the school bus,it,133,1
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",17,31,the master,him,134,1
"The sack of potatoes had been placed above the bag of flour , so it had to be moved first.",0,14,The sack of potatoes,it,135,1
Thomson visited Cooper 's grave in 1765. At that date he had been dead for five years.,0,10,Thomson,he,136,0
"The boy continued to whip the pony , and eventually the pony threw him over. John laughed out quite loud. ""Good for him,"" he said. ",6,22,pony,him,137,1
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over",0,8,Mark,He,138,1
"Then he took a piece of iron the shape of the horse horse's foot , and clapped it on, and drove some nails through the shoe quite into its hoof, so that the shoe was firmly on",8,17,shape,it,139,0
Dr. Adams informed Kate that she had retired and presented several options for future treatment.,0,5,Dr. Adams,she,140,1
"George got free tickets to the play, but he gave them to Eric , because he was particularly eager to see it.",12,15,Eric,he,141,1
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.",0,43,Babar,his,142,0
Jane knocked on Susan 's door but she did not get an answer.,3,7,Susan,she,143,0
Pete envies Martin although he is very successful.,2,4,Martin,he,144,0
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.",3,25,Arthur and Celeste,them,145,1
"We went to the lake , because a shark had been seen at the ocean beach , so it was a safer place to swim.",13,18,The ocean beach,it,146,0
"The boy continued to whip the pony , and eventually the pony threw him over. John laughed out quite loud. ""Served him right,"" he said.",1,21,boy,him,147,1
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",6,44,beans,their,148,0
This book introduced Shakespeare to Goethe ; it was a major influence on his writing.,5,13,Goethe,his,149,1
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.",1,19,Mr. Bond,he,150,1
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.",0,42,Babar,him,151,1
Kirilov ceded the presidency to Shatov because he was less popular.,5,7,Shatov,he,152,0
"Sam took French classes from Adam , because he was eager to speak it fluently.",5,8,Adam,he,153,0
"Then he took a piece of iron the shape of the horse horse's foot , and clapped it on, and drove some nails through the shoe quite into its hoof, so that the shoe was firmly on",4,17,piece of iron,it,154,1
"Fred was supposed to run the dishwasher , but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it off.",5,11,The dishwasher,it,155,0
John was jogging through the park when he saw a man juggling watermelons. He was very impressed.,0,13,John,He,156,1
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,4,15,the judges,they,157,0
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",9,30,Nelly,she,158,0
"Sergeant Holmes asked the girls to describe the intruder . Nancy not only provided the policeman with an excellent description of the heavyset thirty-year-old prowler, but drew a rough sketch of his face.",7,31,the intruder,his,159,1
The foxes are getting in at night and attacking the chickens . They have gotten very nervous.,9,12,The chickens,They,160,1
Jim signaled the barman and gestured toward his empty glass,0,7,Jim,his,161,1
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.",1,14,mothers,They,162,1
"Stretching her back, the woman smiled at the girl .",3,1,The woman,her,163,1
"John promised Bill to leave, so an hour later he left.",2,9,Bill,he,164,0
Jim signaled the barman and gestured toward his empty glass,2,7,The barman,his,165,0
Joan made sure to thank Susan for all the help she had given.,0,10,Joan,she,166,0
James asked Robert for a favor but he refused.,2,7,Robert,he,167,1
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",1,14,mistress,her,168,0
"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.",0,17,Alice,she,169,0
I couldn't put the pot on the shelf because it was too high.,6,9,The shelf,it,170,1
Sam Goodman 's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.,1,16,Goodman,he,171,1
"The sack of potatoes had been placed below the bag of flour , so it had to be moved first.",8,14,The bag of flour,it,172,1
The sculpture rolled off the shelf because it wasn't anchored.,0,7,The sculpture,it,173,1
"Jane knocked on the door, and Susan answered it. She invited her to come in.",6,9,Susan,She,174,1
The politicians far away in Washington could not know the settlers so they must make rules to regulate them.,1,12,politicians,they,175,1
"The table was piled high with food , and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.",6,13,food,it,176,0
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.",12,26,old man,he,177,0
The delivery truck zoomed by the school bus because it was going so slow.,0,9,the delivery truck,it,178,0
"Lily spoke to Donna , breaking her silence.",0,6,Lily,her,179,1
"Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana 's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: ""There's plenty.""",0,12,Tatyana,her,180,0
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.",1,9,Tatyana,She,181,1
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so stupid.,12,15,the chatbots,they,182,0
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was delayed, so it worked out.",10,20,The train,it,183,1
"Susan knew that Ann 's son had been in a car accident, because she told her about it.",0,13,Susan,she,184,0
The table won't fit through the doorway because it is too narrow.,0,8,The table,it,185,0
"Alice looked for her friend Jade in the crowd. Since she always has good luck, Alice spotted her quickly.",0,10,Alice,she,186,1
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.",1,30,mothers,they,187,0
No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel.,12,26,study,it,188,0
Tom gave Ralph a lift to school so he wouldn't have to drive alone.,0,8,Tom,he,189,1
Fred is the only man still alive who remembers my great-grandfather . He was a remarkable man.,9,12,My great-grandfather,He,190,1
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were embarrassed about it.",0,13,Pam's parents,They,191,0
Do you suppose that Peter is responsible for the captain ’s illness? Maybe he bribed the cook to put something in his food.,4,13,Peter,he,192,1
The police arrested all of the gang members . They were trying to stop the drug trade in the neighborhood.,0,9,The police,They,193,1
I put the butterfly wing on the table and it broke.,6,9,The table,it,194,0
Sam Goodman 's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.,8,16,Xenophanes,he,195,1
The politicians far away in Washington could not know the settlers so they must make rules to regulate them.,10,12,settlers,they,196,0
Sam Goodman 's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.,8,16,Xenophanes,he,197,0
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.",12,34,old man,he,198,1
Madonna fired her trainer because she slept with her boyfriend.,0,5,Madonna,she,199,0
The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said he died just to be rid of their everlasting nagging.,1,31,Wainwrights,their,200,1
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.",1,11,Tommy,him,201,0
Bill passed the gameboy to John because his turn was over.,5,7,John,his,202,0
Frank was upset with Tom because the toaster he had sold him didn't work.,4,8,Tom,he,203,1
"Sam took French classes from Adam , because he was known to speak it fluently.",0,8,Sam,he,204,0
Bob paid for Charlie 's college education. He is very generous.,0,7,Bob,He,205,1
"The mothers of Arthur and Celeste have come to the town to fetch them . They are very happy to have them back, but they scold them just the same because they ran away. them .",3,13,Arthur and Celeste,them,206,1
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",1,32,mistress,her,207,0
"Jane knocked on the door, and Susan answered it. She invited her to come in.",0,9,Jane,She,208,0
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",9,32,Nelly,her,209,1
The trophy doesn't fit into the brown suitcase because it is too large.,0,9,the trophy,it,210,1
Emma did not pass the ball to Janie although she saw that she was open.,0,9,Emma,she,211,1
"Sam pulled up a chair to the piano , but it was broken, so he had to sing instead.",6,10,The piano,it,212,1
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.",2,20,Jim,he,213,0
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place.",20,37,old coachman,his,214,1
"I asked Dave to get me my sweater from the other side of the yacht . While he was gone, I rested my arm on the rail over there and suddenly it gave way.",14,31,yacht,it,215,0
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",1,14,mistress,her,216,0
"Fred and Alice had very warm down coats , but they were not enough for the cold in Alaska.",0,10,Fred and Alice,they,217,0
James asked Robert for a favor but he was refused.,2,7,Robert,he,218,0
"Even before they reached town , they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.",4,17,town,it,219,0
"As Ollie carried Tommy up the long winding steps, his legs ached.",3,9,Tommy,his,220,0
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.",1,23,mothers,they,221,1
The city councilmen refused the demonstrators a permit because they advocated violence.,0,9,The city councilmen,they,222,0
What about the time you cut up tulip bulbs in the hamburgers because you thought they were onions?,7,15,tulip bulbs,they,223,1
"We saw a boy trying to leap a pony over a gate; the pony would not take the leap, and the boy cut him with the whip, but he only turned to one side.",3,28,boy,he,224,0
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.,0,10,Frank,he,225,1
I poured water from the bottle into the cup until it was empty.,4,10,the bottle,it,226,1
"Sam pulled up a chair to the piano , but it was broken, so he had to stand instead.",6,10,The piano,it,227,0
"Sam took French classes from Adam , because he was known to speak it fluently.",5,8,Adam,he,228,1
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",6,25,beans,them,229,1
"The older students were bullying the younger ones, so we punished them .",0,11,The older students,them,230,1
The firemen arrived after the police because they were coming from so far away.,0,7,The firemen,they,231,1
John was doing research in the library when he heard a man humming and whistling. He was very annoyed.,0,15,John,He,232,1
"Tatyana managed two guitars and a bag , and still could point out the Freemans : ""Isn't it nice that they have come, Mama!""",13,20,the Freemans,they,233,1
"The user changed his password from "" GrWQWu8JyC "" to "" willow-towered Canopy Huntertropic wrestles "" as it was easy to remember.",11,17,"willow-towered Canopy
Huntertropic wrestles",it,234,1
Steve follows Fred 's example in everything. He influences him hugely.,0,7,Steve,He,235,0
"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the minority.",1,23,The sponsors,They,236,1
Jane knocked on Susan 's door but she did not answer.,3,7,Susan,she,237,1
"The actress used to be named Terpsichore , but she changed it to Tina a few years ago, because she figured it was too hard to pronounce.",13,21,Tina,it,238,0
"Alice looked for her friend Jade in the crowd. Since she always has good luck, Alice spotted her quickly.",5,10,Jade,she,239,0
Pete envies Martin because he is very successful.,2,4,Martin,he,240,1
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.",0,20,Adam,he,241,1
The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They appeared two years ago.,0,18,The scientists,They,242,0
"George got free tickets to the play, but he gave them to Eric , even though he was particularly eager to see it.",12,16,Eric,he,243,0
The politicians far away in Washington could not know the settlers so they must make rules to regulate them .,1,18,politicians,them,244,0
The foxes are getting in at night and attacking the chickens . They have gotten very bold.,0,12,The foxes,They,245,1
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.",0,40,Babar,he,246,0
"John promised Bill to leave, so an hour later he left.",0,9,John,he,247,1
"Sergeant Holmes asked the girls to describe the intruder . Nancy not only provided the policeman with an excellent description of the heavyset thirty-year-old prowler, but drew a rough sketch of his face.",0,31,Sergeant Holmes,his,248,0
This book introduced Shakespeare to Ovid ; it was a fine selection of his writing.,5,13,Ovid,his,249,1
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",3,63,Bill,him,250,1
Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,0,14,Anna,she,251,0
