sentence1,sentence2,label
Nick had a smaller dog than Craig because Nick fed their dog much more food.,Nick had a smaller dog than Craig because Craig fed their dog much more food.,2
There was more shade in the yard of Christine than there was in the yard of Victoria because Christine had more plants.,There was more shade in the yard of Christine than there was in the yard of Victoria because Victoria had more plants.,2
There was more shade in the yard of Christine than there was in the yard of Victoria because Christine had less plants.,There was more shade in the yard of Christine than there was in the yard of Victoria because Victoria had less plants.,2
Kyle loves chocolate and candy and Steven loves pickles and lemons. Kyle loves sour foods.,Kyle loves chocolate and candy and Steven loves pickles and lemons. Steven loves sour foods.,2
Kyle loves chocolate and candy and Steven loves pickles and lemons. Kyle loves sweet foods.,Kyle loves chocolate and candy and Steven loves pickles and lemons. Steven loves sweet foods.,2
"Since Benjamin ate unhealthy desserts far more frequently than Brett, Benjamin had strong will power.","Since Benjamin ate unhealthy desserts far more frequently than Brett, Brett had strong will power.",2
"Since Benjamin ate unhealthy desserts far more frequently than Brett, Benjamin had weak will power.","Since Benjamin ate unhealthy desserts far more frequently than Brett, Brett had weak will power.",2
Eric asked Michael on a date to go to the movies on Friday night because Eric was very confident.,Eric asked Michael on a date to go to the movies on Friday night because Michael was very confident.,2
Eric asked Michael on a date to go to the movies Friday night because Eric was very attractive.,Eric asked Michael on a date to go to the movies Friday night because Michael was very attractive.,2
"Amy hated the smell of bleach, but still Kayla used it all the time to clean so Amy tries to use it less.","Amy hated the smell of bleach, but still Kayla used it all the time to clean so Kayla tries to use it less.",2
"Amy hated the smell of bleach, but still Kayla used it all the time to clean so Amy always leaves the house.","Amy hated the smell of bleach, but still Kayla used it all the time to clean so Kayla always leaves the house.",2
Eric looked at Neil in shock and started to react violently because Eric lied to him.,Eric looked at Neil in shock and started to react violently because Neil lied to him.,2
Eric looked at Neil in shock and started to react violently because Eric felt betrayed.,Eric looked at Neil in shock and started to react violently because Neil felt betrayed.,2
"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the painful experience from Matthew made a lot of sense.","Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the painful experience from Jeffrey made a lot of sense.",2
"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the agreeable experience from Matthew made a lot of sense.","Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the agreeable experience from Jeffrey made a lot of sense.",2
Samantha brought a get well card to the hospital but Emily forgot to because Samantha was preoccupied.,Samantha brought a get well card to the hospital but Emily forgot to because Emily was preoccupied.,2
Samantha brought a get well card to the hospital but Emily forgot to because Samantha was thoughtful.,Samantha brought a get well card to the hospital but Emily forgot to because Emily was thoughtful.,2
Jessica took off the gloves and gave them to Katrina because Jessica 's hands were cold.,Jessica took off the gloves and gave them to Katrina because Katrina 's hands were cold.,2
Jessica took off the gloves and gave them to Katrina because Jessica 's hands were warm.,Jessica took off the gloves and gave them to Katrina because Katrina 's hands were warm.,2
"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. Megan felt relieved and elated.","The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. Mary felt relieved and elated.",2
"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. Megan felt depressed and hopeless.","The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. Mary felt depressed and hopeless.",2
John's certification was less important that Jim's degree because the certification was from a minor University.,John's certification was less important that Jim's degree because the degree was from a minor University.,2
John's certification was less important that Jim's degree because the certification was from a major University.,John's certification was less important that Jim's degree because the degree was from a major University.,2
"They opted not to go to the dance but to the movie instead, the dance seemed like a proper destination for their date.","They opted not to go to the dance but to the movie instead, the movie seemed like a proper destination for their date.",2
"They opted not to go to the dance but to the movie instead, the dance seemed like an inappropriate destination for their date.","They opted not to go to the dance but to the movie instead, the movie seemed like an inappropriate destination for their date.",2
"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the downstairs because he was hot.","The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the upstairs because he was hot.",2
"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the downstairs because he was cold.","The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the upstairs because he was cold.",2
Michael wanted to take Craig out on the water in his new boat. Michael said it would be fun to show him the ropes.,Michael wanted to take Craig out on the water in his new boat. Craig said it would be fun to show him the ropes.,2
Michael wanted to take Craig out on the water in his new boat. Michael said it would be confusing to see how the boat works.,Michael wanted to take Craig out on the water in his new boat. Craig said it would be confusing to see how the boat works.,2
"Come over here and take a look at my scalp today  Natalie told Katrina, Natalie hates providing her  opinion.","Come over here and take a look at my scalp today  Natalie told Katrina, Katrina hates providing her  opinion.",2
"Come over here and take a look at my scalp today  Natalie told Katrina, Natalie needs a second opinion.","Come over here and take a look at my scalp today  Natalie told Katrina, Katrina needs a second opinion.",2
"The sushi rotted on the counter unless it was put in the cooler, as the counter exposed it to contamination.","The sushi rotted on the counter unless it was put in the cooler, as the cooler exposed it to contamination.",2
"The sushi rotted on the counter unless it was put in the cooler, as the counter protected it from contamination.","The sushi rotted on the counter unless it was put in the cooler, as the cooler protected it from contamination.",2
The contract could not be drafted at the business during that day because the contract was too small to care about.,The contract could not be drafted at the business during that day because the business was too small to care about.,2
The contract could not be drafted at the business during that day because the contract was too big to care about it.,The contract could not be drafted at the business during that day because the business was too big to care about it.,2
"Laura always had more motivation in life and achieving goals than Katrina, as Laura was optimistic.","Laura always had more motivation in life and achieving goals than Katrina, as Katrina was optimistic.",2
"Laura always had more motivation in life and achieving goals than Katrina, as Laura was lazy.","Laura always had more motivation in life and achieving goals than Katrina, as Katrina was lazy.",2
Ben had to either stop eating chocolates or nuts. He chose to stop eating the chocolates because they were savory.,Ben had to either stop eating chocolates or nuts. He chose to stop eating the nuts because they were savory.,2
Ben had to either stop eating chocolates or nuts. He chose to stop eating the chocolates because they were sweet.,Ben had to either stop eating chocolates or nuts. He chose to stop eating the nuts because they were sweet.,2
James was looking if there is any space to put the book into the shelf. The space is small.,James was looking if there is any space to put the book into the shelf. The book is small.,2
James was looking if there is any space to put the book into the shelf. The space is big.,James was looking if there is any space to put the book into the shelf. The book is big.,2
James was writing a poem on his jotter when the ink finished. The poem is a long .,James was writing a poem on his jotter when the ink finished. The ink is a long .,2
James was writing a poem on his jotter when the ink finished. The poem is a low.,James was writing a poem on his jotter when the ink finished. The ink is a low.,2
"The couple drank wine out of glasses instead of mugs, because the mugs were clean.","The couple drank wine out of glasses instead of mugs, because the glasses were clean.",2
"The couple drank wine out of glasses instead of mugs, because the mugs were dirty.","The couple drank wine out of glasses instead of mugs, because the glasses were dirty.",2
Dividing the candy was more difficult than dividing the apples because every kid wanted the candy .,Dividing the candy was more difficult than dividing the apples because every kid wanted the apples .,2
Dividing the candy was more difficult than dividing the apples because no kid wanted the candy .,Dividing the candy was more difficult than dividing the apples because no kid wanted the apples .,2
Brian wanted to be a home based administrative assistant and Kenneth didn't because Brian liked staying at home.,Brian wanted to be a home based administrative assistant and Kenneth didn't because Kenneth liked staying at home.,2
Brian wanted to be a home based administrative assistant and Kenneth didn't because Brian did not like staying at home.,Brian wanted to be a home based administrative assistant and Kenneth didn't because Kenneth did not like staying at home.,2
"Brian had a large collection of coins that Kevin really admired, so Brian asked him for some duplicates.","Brian had a large collection of coins that Kevin really admired, so Kevin asked him for some duplicates.",2
"Brian had a large collection of coins that Kevin really admired, so Brian offered him some duplicates.","Brian had a large collection of coins that Kevin really admired, so Kevin offered him some duplicates.",2
"William forgot about all the times when Ian saved them, despite how William was generally self-sacrificing.","William forgot about all the times when Ian saved them, despite how Ian was generally self-sacrificing.",2
"William forgot about all the times when Ian saved them, because William was generally self-involved.","William forgot about all the times when Ian saved them, because Ian was generally self-involved.",2
"Katrina's being taught how to speak Korean by Felicia, so Katrina was most likely born in Korea.","Katrina's being taught how to speak Korean by Felicia, so Felicia was most likely born in Korea.",2
"Katrina's being taught how to speak Korean by Felicia, so Katrina was most likely born in the US.","Katrina's being taught how to speak Korean by Felicia, so Felicia was most likely born in the US.",2
Jason denied Ian's passport application because Jason did not provide the correct paperwork in time.,Jason denied Ian's passport application because Ian did not provide the correct paperwork in time.,2
Jason denied Ian's passport application because Jason did not receive the correct paperwork in time.,Jason denied Ian's passport application because Ian did not receive the correct paperwork in time.,2
I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the Vanilla essence was too weak.,I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the tea tree essence was too weak.,2
I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the Vanilla essence was too strong.,I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the tea tree essence was too strong.,2
I'd rather play on a soccer team than be a kicker on a foot ball team since the soccer ball is harder to kick.,I'd rather play on a soccer team than be a kicker on a foot ball team since the foot ball is harder to kick.,2
I'd rather play on a soccer team than be a kicker on a foot ball team since the soccer ball is easier to kick.,I'd rather play on a soccer team than be a kicker on a foot ball team since the foot ball is easier to kick.,2
"Kyle thought the temperature was too warm while William thought it was too cold, so Kyle turned the heat down.","Kyle thought the temperature was too warm while William thought it was too cold, so William turned the heat down.",2
"Kyle thought the temperature was too warm while William thought it was too cold, so Kyle turned the heat up.","Kyle thought the temperature was too warm while William thought it was too cold, so William turned the heat up.",2
"William wanted an egg for breakfast, but Kevin ate the last one, so William had to give them cereal.","William wanted an egg for breakfast, but Kevin ate the last one, so Kevin had to give them cereal.",2
"William wanted an egg for breakfast, but Kevin ate the last one, so William had to eat cereal.","William wanted an egg for breakfast, but Kevin ate the last one, so Kevin had to eat cereal.",2
The woman sprayed cleaner on the mirror but skipped the countertop because the mirror was clean.,The woman sprayed cleaner on the mirror but skipped the countertop because the countertop was clean.,2
The woman sprayed cleaner on the mirror but skipped the countertop because the mirror was dirty.,The woman sprayed cleaner on the mirror but skipped the countertop because the countertop was dirty.,2
Justin wrote a paragraph in his planner every day unlike Matthew because Justin was disorganized.,Justin wrote a paragraph in his planner every day unlike Matthew because Matthew was disorganized.,2
Justin wrote a paragraph in his planner every day unlike Matthew because Justin was organized.,Justin wrote a paragraph in his planner every day unlike Matthew because Matthew was organized.,2
The children could only count the number of balls in one jar and not the beans in the other because the balls were too numerous.,The children could only count the number of balls in one jar and not the beans in the other because the beans were too numerous.,2
