"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"hugh grant , who has a good line in charm , has never been more [[charming]] than in about a boy .","hugh grant , who has a good line in charm , has never been more [[cute]] than in about a boy .",0.19669872522354126,0.500368595123291,1,0,1,50,"Successful"
"there's a lot of tooth in roger dodger . but what's [[nice]] is that there's a casual intelligence that [[permeates]] the script .","there's a lot of tooth in roger dodger . but what's [[leggy]] is that there's a casual intelligence that [[permeated]] the script .",0.12527114152908325,0.6708177328109741,1,0,1,81,"Successful"
"reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .","reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .",0.7559650540351868,0.7559650540351868,0,0,1,1,"Skipped"
"one of the [[best]] looking and [[stylish]] animated movies in quite a while . . .","one of the [[strictest]] looking and [[lean]] animated movies in quite a while . . .",0.06452316045761108,0.8176395893096924,1,0,1,59,"Successful"
"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is [[intriguing]] , provocative stuff .","its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is [[baffling]] , provocative stuff .",0.04643982648849487,0.5326105356216431,1,0,1,51,"Successful"
"denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it [[deserves]] to be seen everywhere .","denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it [[warranted]] to be seen everywhere .",0.18305152654647827,0.519137978553772,1,0,1,28,"Successful"
"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not [[rooted]] in that decade .","you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not [[reasoned]] in that decade .",0.21359407901763916,0.5459792613983154,1,0,1,46,"Successful"
"waiting for godard can be [[fruitful]] : 'in praise of love' is the director's epitaph for himself .","waiting for godard can be [[salubrious]] : 'in praise of love' is the director's epitaph for himself .",0.0735672116279602,0.797167181968689,1,0,1,43,"Successful"
"a gangster movie with the [[capacity]] to surprise .","a gangster movie with the [[jurisdictional]] to surprise .",0.10714274644851685,0.799729585647583,1,0,1,43,"Successful"
"the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are [[worth]] the price of admission . . . if "" gory mayhem "" is your idea of a good time .","the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are [[priceless]] the price of admission . . . if "" gory mayhem "" is your idea of a good time .",0.31450724601745605,0.6260536909103394,1,0,1,24,"Successful"
"if not a home run , then at least a [[solid]] base hit .","if not a home run , then at least a [[audio]] base hit .",0.38833385705947876,0.7963563799858093,1,0,1,43,"Successful"
"goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .","goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .",0.7840209007263184,0.7840209007263184,0,0,1,1,"Skipped"
". . . a fairly disposable yet still entertaining b picture .",". . . a fairly disposable yet still entertaining b picture .",0.5772618055343628,0.5772618055343628,0,0,1,1,"Skipped"
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing [[make]] it [[unexpectedly]] [[rewarding]] .","it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing [[introducing]] it [[suspiciously]] [[recompense]] .",0.050053179264068604,0.6235048174858093,1,0,1,143,"Successful"
"the [[film]] [[truly]] does [[rescue]] [the funk brothers] from motown's [[shadows]] . it's about time .","the [[cinematography]] [[awfully]] does [[redding]] [the funk brothers] from motown's [[grey]] . it's about time .",0.08598965406417847,0.5112789273262024,1,0,1,147,"Successful"
"drawing on an [[irresistible]] , languid romanticism , byler [[reveals]] the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .","drawing on an [[gargantuan]] , languid romanticism , byler [[betrays]] the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",0.06379914283752441,0.5326358675956726,1,0,1,99,"Successful"
"works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .","works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .",0.8846455216407776,0.8846455216407776,0,0,1,1,"Skipped"
"[scherfig] has made a [[movie]] that will leave you [[wondering]] about the characters' lives after the clever credits roll .","[scherfig] has made a [[cinematographers]] that will leave you [[asked]] about the characters' lives after the clever credits roll .",0.10419905185699463,0.6510722637176514,1,0,1,55,"Successful"
"a [[heady]] , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the [[modern]] male and the lengths to which he'll go to weave a protective cocoon around his own ego .","a [[disordered]] , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the [[upgraded]] male and the lengths to which he'll go to weave a protective cocoon around his own ego .",0.05740618705749512,0.6388149857521057,1,0,1,56,"Successful"
"skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also [[taps]] into the [[primal]] fears of [[young]] people trying to cope with the [[mysterious]] and brutal nature of adults .","skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also [[appoints]] into the [[rudimentary]] fears of [[yong]] people trying to cope with the [[inscrutable]] and brutal nature of adults .",0.09364306926727295,0.581164538860321,1,0,1,54,"Successful"
"the piano teacher is not an easy film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a [[cool]] distance from its material that is deliberately unsettling .","the piano teacher is not an easy film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a [[super]] distance from its material that is deliberately unsettling .",0.24352097511291504,0.7448940277099609,1,0,1,31,"Successful"
"as [[refreshing]] as a drink from a woodland stream .","as [[retrofitted]] as a drink from a woodland stream .",0.09918820858001709,0.8566098809242249,1,0,1,36,"Successful"
"williams [[absolutely]] nails sy's queasy infatuation and overall strangeness .","williams [[flatly]] nails sy's queasy infatuation and overall strangeness .",0.08828330039978027,0.8204936385154724,1,0,1,56,"Successful"
"can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ?","can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ?",0.614919126033783,0.614919126033783,0,0,1,1,"Skipped"
"while it's nothing we haven't seen before from murphy , i spy is still fun and [[enjoyable]] and so aggressively silly that it's more than a [[worthwhile]] effort .","while it's nothing we haven't seen before from murphy , i spy is still fun and [[gentil]] and so aggressively silly that it's more than a [[salubrious]] effort .",0.07705461978912354,0.627810001373291,1,0,1,92,"Successful"
"by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not [[always]] for the better .","by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not [[necessarily]] for the better .",0.3339470624923706,0.5248974561691284,1,0,1,51,"Successful"
"an [[intimate]] contemplation of two marvelously messy lives .","an [[squeamish]] contemplation of two marvelously messy lives .",0.05663621425628662,0.8809252381324768,1,0,1,14,"Successful"
"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .","rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",0.8421502113342285,0.8421502113342285,0,0,1,1,"Skipped"
"this is one of those [[rare]] docs that [[paints]] a grand picture of an era and makes the journey feel like a [[party]] .","this is one of those [[scant]] docs that [[repainted]] a grand picture of an era and makes the journey feel like a [[parties]] .",0.06488221883773804,0.7598599195480347,1,0,1,68,"Successful"
"[[poignant]] if familiar story of a young person suspended between two cultures .","[[disquieting]] if familiar story of a young person suspended between two cultures .",0.051277756690979004,0.8460286259651184,1,0,1,45,"Successful"
"a metaphor for a modern-day [[urban]] china searching for its [[identity]] .","a metaphor for a modern-day [[stadt]] china searching for its [[tagging]] .",0.08740788698196411,0.7324554920196533,1,0,1,23,"Successful"
"for all its brooding quality , [[ash]] wednesday is [[suspenseful]] and ultimately unpredictable , with a [[sterling]] ensemble cast .","for all its brooding quality , [[bicarbonate]] wednesday is [[cliffhanger]] and ultimately unpredictable , with a [[stirling]] ensemble cast .",0.04897665977478027,0.5238078832626343,1,0,1,56,"Successful"
"an odd drama set in the [[world]] of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .","an odd drama set in the [[planet]] of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .",0.3620489835739136,0.5373139381408691,1,0,1,38,"Successful"
"the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of authority .","the film feels uncomfortably real , its language and locations bearing the unmistakable stamp of authority .",0.7721876502037048,0.7721876502037048,0,0,1,1,"Skipped"
"[[despite]] its faults , gangs [[excels]] in spectacle and pacing .","[[unless]] its faults , gangs [[overwhelms]] in spectacle and pacing .",0.058933138847351074,0.862853467464447,1,0,1,25,"Successful"
"[[entertaining]] despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .","[[antics]] despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .",0.08728474378585815,0.8596798181533813,1,0,1,39,"Successful"
"a tightly directed , [[highly]] professional film that's old-fashioned in all the best possible ways .","a tightly directed , [[overly]] professional film that's old-fashioned in all the best possible ways .",0.07883554697036743,0.8858165740966797,1,0,1,56,"Successful"
"it's [[dark]] but has [[wonderfully]] funny moments ; you [[care]] about the characters ; and the action and special effects are first-rate .","it's [[depressing]] but has [[appallingly]] funny moments ; you [[zorg]] about the characters ; and the action and special effects are first-rate .",0.054277658462524414,0.5693545341491699,1,0,1,110,"Successful"
"in visual fertility treasure planet rivals the [[top]] japanese animations of recent vintage .","in visual fertility treasure planet rivals the [[upper]] japanese animations of recent vintage .",0.11763554811477661,0.7097142934799194,1,0,1,38,"Successful"
"enormously [[enjoyable]] , high-adrenaline [[documentary]] .","enormously [[gentil]] , high-adrenaline [[paperwork]] .",0.04936450719833374,0.8664465546607971,1,0,1,62,"Successful"
"buy is an accomplished actress , and this is a big , [[juicy]] role .","buy is an accomplished actress , and this is a big , [[meaty]] role .",0.06936913728713989,0.8693978190422058,1,0,1,15,"Successful"
"it works its [[magic]] with such [[exuberance]] and passion that the film's length [[becomes]] a [[part]] of its [[fun]] .","it works its [[pixie]] with such [[elation]] and passion that the film's length [[ai]] a [[faction]] of its [[distracting]] .",0.05293160676956177,0.6390976905822754,1,0,1,164,"Successful"
"[[beautifully]] crafted and brutally honest , promises offers an [[unexpected]] window into the complexities of the [[middle]] [[east]] [[struggle]] and into the humanity of its people .","[[appallingly]] crafted and brutally honest , promises offers an [[unwanted]] window into the complexities of the [[oriente]] [[eastern]] [[struggles]] and into the humanity of its people .",0.04937756061553955,0.5115638971328735,1,0,1,133,"Successful"
"an old-fashioned but emotionally [[stirring]] adventure tale of the kind they rarely make anymore .","an old-fashioned but emotionally [[irate]] adventure tale of the kind they rarely make anymore .",0.10024338960647583,0.8388326168060303,1,0,1,59,"Successful"
"charlotte sometimes is a gem . it's always [[enthralling]] .","charlotte sometimes is a gem . it's always [[hallucinatory]] .",0.06034916639328003,0.8348192572593689,1,0,1,45,"Successful"
"in my [[opinion]] , [[analyze]] that is not as funny or [[entertaining]] as [[analyze]] this , but it is a [[respectable]] [[sequel]] .","in my [[view]] , [[browse]] that is not as funny or [[funny]] as [[discuss]] this , but it is a [[obeyed]] [[continued]] .",0.12916648387908936,0.5538087487220764,1,0,1,193,"Successful"
"a [[remarkable]] film by bernard rose .","a [[whopping]] film by bernard rose .",0.05490356683731079,0.82968670129776,1,0,1,46,"Successful"
"zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .","zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",0.6383055448532104,0.6383055448532104,0,0,1,1,"Skipped"
"a much more [[successful]] translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .","a much more [[succeeding]] translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .",0.18557512760162354,0.5720549821853638,1,0,1,57,"Successful"
"an [[original]] and highly cerebral examination of the psychopathic mind","an [[rudimentary]] and highly cerebral examination of the psychopathic mind",0.05184882879257202,0.5802339315414429,1,0,1,20,"Successful"
"michel piccoli's [[moving]] performance is this films reason for being .","michel piccoli's [[displaced]] performance is this films reason for being .",0.05830496549606323,0.8596369028091431,1,0,1,54,"Successful"
"a [[captivating]] and [[intimate]] study about [[dying]] and loving . . .","a [[hallucinatory]] and [[cosy]] study about [[decedent]] and loving . . .",0.05018192529678345,0.8593985438346863,1,0,1,93,"Successful"
"this is an elegantly [[balanced]] movie -- every member of the ensemble has something fascinating to do -- that doesn't reveal even a hint of artifice .","this is an elegantly [[balancing]] movie -- every member of the ensemble has something fascinating to do -- that doesn't reveal even a hint of artifice .",0.360442578792572,0.5487171411514282,1,0,1,17,"Successful"
"[grant] goes beyond his usual fluttering and stammering and [[captures]] the soul of a man in pain who gradually comes to recognize it and deal with it .","[grant] goes beyond his usual fluttering and stammering and [[nabbed]] the soul of a man in pain who gradually comes to recognize it and deal with it .",0.05863213539123535,0.5202000141143799,1,0,1,63,"Successful"
"a high-spirited [[buddy]] [[movie]] about the [[reunion]] of [[berlin]] [[anarchists]] who [[face]] [[arrest]] 15 [[years]] after their [[crime]] .","a high-spirited [[dude]] [[video]] about the [[pool]] of [[hamburg]] [[nutters]] who [[confrontation]] [[netted]] 15 [[seniority]] after their [[offending]] .",0.06646502017974854,0.5627144575119019,1,0,1,299,"Successful"
"about the best thing you could say about narc is that it's a rock-solid little genre picture . whether you like it or not is basically a matter of taste .","about the best thing you could say about narc is that it's a rock-solid little genre picture . whether you like it or not is basically a matter of taste .",0.7601706385612488,0.7601706385612488,0,0,1,1,"Skipped"
"an [[involving]] , inspirational drama that sometimes falls prey to its sob-story trappings .","an [[include]] , inspirational drama that sometimes falls prey to its sob-story trappings .",0.07917177677154541,0.7900866270065308,1,0,1,34,"Successful"
"some of the most inventive silliness you are likely to witness in a movie theatre for some time .","some of the most inventive silliness you are likely to witness in a movie theatre for some time .",0.5252388119697571,0.5252388119697571,0,0,1,1,"Skipped"
"canadian filmmaker gary burns' [[inventive]] and mordantly [[humorous]] take on the soullessness of work in the [[city]] .","canadian filmmaker gary burns' [[fiction]] and mordantly [[travesty]] take on the soullessness of work in the [[mayor]] .",0.05064266920089722,0.5235253572463989,1,0,1,96,"Successful"
"a rollicking ride , with jaw-dropping action sequences , striking villains , a [[gorgeous]] color palette , astounding technology , [[stirring]] music and a boffo last hour that leads up to a strangely sinister happy ending .","a rollicking ride , with jaw-dropping action sequences , striking villains , a [[leggy]] color palette , astounding technology , [[tumult]] music and a boffo last hour that leads up to a strangely sinister happy ending .",0.06129276752471924,0.6457103490829468,1,0,1,103,"Successful"
"everyone's insecure in lovely and amazing , a [[poignant]] and wryly amusing film about mothers , daughters and their relationships .","everyone's insecure in lovely and amazing , a [[depressing]] and wryly amusing film about mothers , daughters and their relationships .",0.044764161109924316,0.5458264946937561,1,0,1,47,"Successful"
"the closest thing to the experience of space travel","the closest thing to the experience of space travel",0.7088966369628906,0.7088966369628906,0,0,1,1,"Skipped"
"full of [[surprises]] .","full of [[stuns]] .",0.07277268171310425,0.878378689289093,1,0,1,21,"Successful"
"connoisseurs of chinese [[film]] will be pleased to discover that tian's meticulous [[talent]] has not [[withered]] during his enforced hiatus .","connoisseurs of chinese [[scorsese]] will be pleased to discover that tian's meticulous [[talented]] has not [[bloomed]] during his enforced hiatus .",0.1416487693786621,0.5163722038269043,1,0,1,114,"Successful"
"if you can push on through the slow spots , you'll be [[rewarded]] with some fine [[acting]] .","if you can push on through the slow spots , you'll be [[reimburse]] with some fine [[behaved]] .",0.10365861654281616,0.515268087387085,1,0,1,37,"Successful"
"an unusually dry-eyed , even analytical approach to [[material]] that is generally played for maximum moisture .","an unusually dry-eyed , even analytical approach to [[substance]] that is generally played for maximum moisture .",0.3471636176109314,0.5844359993934631,1,0,1,35,"Successful"
"symbolically , [[warm]] water under a red [[bridge]] is a [[celebration]] of feminine [[energy]] , a tribute to the power of [[women]] to heal .","symbolically , [[lukewarm]] water under a red [[catwalk]] is a [[celebrating]] of feminine [[strom]] , a tribute to the power of [[maid]] to heal .",0.0792357325553894,0.541076123714447,1,0,1,177,"Successful"
"spy kids 2 also happens to be that rarity among sequels : it actually [[improves]] upon the original hit movie .","spy kids 2 also happens to be that rarity among sequels : it actually [[reinforces]] upon the original hit movie .",0.2960391044616699,0.5320868492126465,1,0,1,60,"Successful"
"exceptionally [[well]] acted by diane lane and richard gere .","exceptionally [[too]] acted by diane lane and richard gere .",0.06773561239242554,0.8788063526153564,1,0,1,42,"Successful"
"like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .","like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it's one tough rock .",0.7456159591674805,0.7456159591674805,0,0,1,1,"Skipped"
"in addition to scoring high for [[originality]] of plot -- putting [[together]] familiar themes of family , forgiveness and love in a new way -- lilo & [[stitch]] [[has]] a number of other assets to commend it to movie audiences both [[innocent]] and jaded .","in addition to scoring high for [[oddity]] of plot -- putting [[jointly]] familiar themes of family , forgiveness and love in a new way -- lilo & [[sewed]] [[owns]] a number of other assets to commend it to movie audiences both [[irreproachable]] and jaded .",0.08228236436843872,0.5451557040214539,1,0,1,101,"Successful"
"miller has crafted an [[intriguing]] story of maternal instincts and misguided acts of affection .","miller has crafted an [[hallucinatory]] story of maternal instincts and misguided acts of affection .",0.05157744884490967,0.8097279071807861,1,0,1,36,"Successful"
"one of the most [[exciting]] action [[films]] to come out of china in [[recent]] [[years]] .","one of the most [[sexier]] action [[movie]] to come out of china in [[elapsed]] [[seniority]] .",0.06003087759017944,0.5645374059677124,1,0,1,123,"Successful"
"this is a nervy , risky film , and villeneuve has inspired croze to give herself over completely to the tormented persona of bibi .","this is a nervy , risky film , and villeneuve has inspired croze to give herself over completely to the tormented persona of bibi .",0.7152917385101318,0.7152917385101318,0,0,1,1,"Skipped"
"my little eye is the [[best]] little "" horror "" movie i've seen in years .","my little eye is the [[strictest]] little "" horror "" movie i've seen in years .",0.15699398517608643,0.874346911907196,1,0,1,53,"Successful"
"tunney , brimming with coltish , neurotic energy , [[holds]] the screen like a true star .","tunney , brimming with coltish , neurotic energy , [[obligated]] the screen like a true star .",0.16625064611434937,0.8779445290565491,1,0,1,56,"Successful"
"even if the naipaul original remains the real masterpiece , the movie [[possesses]] its own languorous [[charm]] .","even if the naipaul original remains the real masterpiece , the movie [[occupies]] its own languorous [[tempt]] .",0.0925217866897583,0.5363736748695374,1,0,1,88,"Successful"
"[the film] tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .","[the film] tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .",0.6557072997093201,0.6557072997093201,0,0,1,1,"Skipped"
